,place,date,평균기온(C),최고기온(C),최저기온(C),평균상대습도(%),월합강수량(00~24h만)(mm),평균풍속(m/s),평균운량,고객호수,사용량(kWh),전기요금(원),평균판매단가(원/kWh),증감률 (%),생산지수(2015=100)
0,9,1,-4.5,8.4,-15.3,65,29.3,2.3,3.7,43856,507859467,38011410965,74.8,9.2,91.6
1,9,2,1.4,17.9,-10.8,59,55.3,2.4,4.8,43908,485747295,36812602639,75.8,-4.4,76.6
2,9,3,4.3,14.2,-4,59,82.5,2.9,6.2,43837,437905920,32082879614,73.3,7.8,95.8
3,9,4,9.5,20.7,1.1,54,62.8,2.9,5.2,43866,453669055,32012099818,70.6,-4,94.7
4,9,5,17.2,28.6,5.8,62,124,2.6,5.4,44035,425767718,30651723525,72,14.3,94.3
5,9,6,23.4,32.7,12.1,62,127.6,2.1,5,44105,452723931,32593189830,72,14.3,97.3
6,9,7,25.8,32.3,21,74,239.2,2.5,7.4,44166,488932006,39915305627,81.6,5.4,95.1
7,9,8,26.5,33.8,19.9,78,598.7,2.4,7.6,44253,520639115,44713852612,85.9,3,93.7
8,9,9,21.8,31.4,8.4,72,671.5,2.3,5.9,44322,490443316,38981776878,79.5,-1.1,100.1
9,9,10,14.5,24.2,0.7,61,25.6,2.2,3.7,44355,404177235,32429753128,80.2,6.3,106.1
10,9,11,6.5,17.4,-5.2,55,10.9,2.8,3.4,44389,444264960,36003813996,81,11.1,104.7
11,9,12,-1.3,13.5,-15.1,56,16.1,3,4.1,44262,470550165,38397391310,81.6,3.1,107.3
12,9,1,-7.2,0.3,-17.8,54,8.9,2.8,2.7,44288,506802330,41385149770,81.7,13.7,104.1
13,9,2,1.2,13.2,-9.2,55,29.1,2.6,4,44352,469675461,38948092488,82.9,6.9,81.9
14,9,3,3.6,16.8,-5.5,51,14.6,3.4,3.3,44406,438255487,34004851147,77.6,9.6,104.9
15,9,4,10.7,19,4.3,54,110.1,3.2,4.7,44507,441509290,33266851409,75.3,1.4,96
16,9,5,17.9,31.2,8.5,57,53.4,2.8,5.6,44591,401023842,31180667943,77.8,-4.6,90
17,9,6,22,32.9,14.4,67,404.5,2.9,6.1,44593,449172965,32821629967,73.1,-8.4,89.1
18,9,7,24.6,34.1,18.9,79,1131,2.4,8,44634,461417456,39988447858,86.7,-2.3,92.9
19,9,8,25.8,34.1,18.1,74,166.8,2.5,7.5,44685,476557930,45219875182,94.9,7.4,100.7
20,9,9,21.8,32.4,10.3,58,25.6,2.4,4.5,44730,462875847,39251960737,84.8,6.2,106.3
21,9,10,14.2,23.4,3.1,55,32,2.1,3.8,44752,415399434,33287958337,80.1,3.7,110
22,9,11,10.7,25.9,-5.5,61,56.2,2.7,6,44698,416034183,36300344733,87.3,0.3,105
23,9,12,-0.9,9.1,-10.6,51,7.1,2.6,3.9,44609,435488335,40720890890,93.5,1.5,109
24,9,1,-2.8,8.4,-12.2,49,6.7,2.5,3.6,44673,476003025,45226651491,95,-6.6,97.3
25,9,2,-2,12.1,-17.1,43,0.8,2.9,3.4,44774,463841697,45391576807,97.9,19.9,98.2
26,9,3,5.1,16.2,-5.7,52,47.4,3.5,5.2,44875,427809208,37762695052,88.3,2.7,107.7
27,9,4,12.3,29.4,0.6,54,157,3.4,4.6,44931,417451527,34511175769,82.7,0.9,96.9
28,9,5,19.7,29.3,12,48,8.2,2.7,4.3,45144,397270311,33503504292,84.3,7.1,96.3
29,9,6,24.1,33.5,16.3,54,91.9,2.8,5.4,45205,414217747,34733406838,83.9,5.2,93.7
30,9,7,25.4,33.2,18.5,74,448.9,2.7,7.4,45245,433159305,41988310804,96.9,4.9,97.4
31,9,8,27.1,36.7,18.7,68,464.9,3,6.8,45324,465244114,48758722401,104.8,-1.2,99.4
32,9,9,21,29.5,12,65,212,2.3,5.6,45351,437311630,42220868295,96.5,-3.6,102.4
