,date,place,usage,고객호수,사용량(kWh),전기요금(원),평균판매단가(원/kWh)
51,201001,강원도,산업용,10295 ,463950773 ,35139335712 ,75.7
179,201002,강원도,산업용,10317 ,422910243 ,32495554645 ,76.8
307,201003,강원도,산업용,10316 ,517990816 ,34865302481 ,67.3
435,201004,강원도,산업용,10370 ,534291666 ,35837294235 ,67.1
563,201005,강원도,산업용,10401 ,552798158 ,36102869755 ,65.3
691,201006,강원도,산업용,10442 ,555653248 ,36892838836 ,66.4
51,201007,강원도,산업용,10518 ,519317358 ,43514434931 ,83.8
179,201008,강원도,산업용,10572 ,486324103 ,42584423469 ,87.6
307,201009,강원도,산업용,10622 ,475862246 ,34456881597 ,72.4
435,201010,강원도,산업용,10642 ,546945649 ,38087119329 ,69.6
563,201011,강원도,산업용,10752 ,567036330 ,46532417979 ,82.1
691,201012,강원도,산업용,10852 ,574760250 ,46968406506 ,81.7
51,201101,강원도,산업용,10897 ,543621151 ,44441563342 ,81.8
179,201102,강원도,산업용,10912 ,504535587 ,41783699836 ,82.8
307,201103,강원도,산업용,10923 ,611321099 ,42162705274 ,69.0
435,201104,강원도,산업용,10974 ,601744447 ,41985386372 ,69.8
563,201105,강원도,산업용,11013 ,616765922 ,41905550293 ,67.9
691,201106,강원도,산업용,11057 ,618944279 ,42849222153 ,69.2
51,201107,강원도,산업용,11083 ,595903573 ,50950542056 ,85.5
179,201108,강원도,산업용,11141 ,576713181 ,52988882307 ,91.9
307,201109,강원도,산업용,11156 ,604959584 ,44724133909 ,73.9
435,201110,강원도,산업용,11178 ,654763940 ,46768251857 ,71.4
563,201111,강원도,산업용,11189 ,634952657 ,55727217330 ,87.8
691,201112,강원도,산업용,11215 ,638077502 ,60394683117 ,94.7
51,201201,강원도,산업용,11259 ,581408142 ,55187040829 ,94.9
179,201202,강원도,산업용,11258 ,537959873 ,53040030542 ,98.6
307,201203,강원도,산업용,11271 ,614494922 ,48282035458 ,78.6
435,201204,강원도,산업용,11282 ,602629232 ,46754679507 ,77.6
563,201205,강원도,산업용,11329 ,623123684 ,49511573284 ,79.5
691,201206,강원도,산업용,11364 ,623503577 ,50719881243 ,81.3
51,201207,강원도,산업용,11454 ,602175744 ,59179825035 ,98.3
179,201208,강원도,산업용,11451 ,557897312 ,57623638877 ,103.3
