,date,place,usage,고객호수,사용량(kWh),전기요금(원),평균판매단가(원/kWh),평균기온(C),최고기온(C),최저기온(C),평균상대습도(%),월합강수량(00~24h만)(mm),평균풍속(m/s),평균운량
0,201001,강원도,농사용,55733,33990886,1507072548,44.3,-5.0,8.2,-19.4,66.0,40.8,1.0,3.8
1,201002,강원도,농사용,55637,34317285,1521621687,44.3,1.2,20.0,-11.5,62.0,62.1,1.2,5.1
2,201003,강원도,농사용,78951,29989945,1336019001,44.5,4.6,18.8,-4.0,63.0,78.2,1.6,6.6
3,201004,강원도,농사용,56171,30179421,1346807230,44.6,10.0,25.3,-1.4,51.0,58.5,1.7,5.5
4,201005,강원도,농사용,56636,26023955,1175967384,45.2,17.8,31.4,3.3,57.0,78.0,1.4,5.5
5,201006,강원도,농사용,57442,26764150,1185814016,44.3,23.4,33.7,8.8,63.0,86.6,1.1,5.5
6,201007,강원도,농사용,58007,25980296,1190761594,45.8,26.1,34.2,19.2,74.0,174.8,1.1,7.9
7,201008,강원도,농사용,58558,30136552,1358339065,45.1,27.1,36.0,21.6,78.0,269.9,1.1,7.8
8,201009,강원도,농사용,59498,35772835,1573886322,44.0,21.1,34.2,7.2,76.0,550.2,0.9,6.2
9,201010,강원도,농사용,60231,32020405,1468397584,45.9,13.7,24.9,-1.9,69.0,24.7,0.8,4.8
10,201011,강원도,농사용,83557,42950811,1701030852,39.6,5.8,18.5,-5.5,54.0,19.5,1.1,3.2
11,201012,강원도,농사용,60322,32163495,1448515535,45.0,-1.6,16.0,-14.2,59.0,18.9,1.4,4.3
12,201101,강원도,농사용,60226,36265975,1596403000,44.0,-7.7,1.9,-18.6,55.0,11.0,1.2,2.5
13,201102,강원도,농사용,60183,35062277,1556793162,44.4,0.8,14.3,-10.8,58.0,42.4,1.1,4.6
14,201103,강원도,농사용,83511,30225234,1366396511,45.2,3.7,18.7,-7.1,50.0,38.5,2.0,3.5
15,201104,강원도,농사용,61129,28554026,1304462656,45.7,11.1,23.7,1.1,53.0,163.1,1.9,5.0
16,201105,강원도,농사용,61941,24484193,1139404562,46.5,18.3,29.8,8.0,56.0,109.1,1.7,5.8
17,201106,강원도,농사용,62684,25449205,1157329306,45.5,22.8,33.7,14.0,64.0,364.8,1.6,6.2
18,201107,강원도,농사용,63303,24594173,1151251242,46.8,25.5,35.3,18.7,78.0,882.0,1.3,8.3
19,201108,강원도,농사용,64053,28473960,1334028216,46.9,25.9,35.4,17.5,75.0,369.8,1.3,7.7
20,201109,강원도,농사용,64795,33445460,1527066511,45.7,20.5,33.0,8.7,68.0,96.7,1.2,4.8
21,201110,강원도,농사용,65157,31524130,1473862623,46.8,12.1,22.6,-0.9,69.0,44.6,1.1,4.4
22,201111,강원도,농사용,88007,40228668,1651460826,41.1,9.6,25.5,-5.1,64.0,55.0,1.4,6.0
23,201112,강원도,농사용,65238,31632538,1444710258,45.7,-2.0,9.3,-13.8,57.0,11.0,1.3,4.0
24,201201,강원도,농사용,65193,36105700,1610830555,44.6,-3.9,9.3,-14.8,58.0,10.5,1.2,4.1
25,201202,강원도,농사용,65176,37079696,1651201516,44.5,-2.6,12.4,-20.5,48.0,2.1,1.5,3.5
