,date,place,usage,고객호수,사용량(kWh),전기요금(원),평균판매단가(원/kWh),평균기온(C),최고기온(C),최저기온(C),평균상대습도(%),월합강수량(00~24h만)(mm),평균풍속(m/s),평균운량
0,201001,강원도,산업용,10295,463950773,35139335712,75.7,-5.0,8.2,-19.4,66.0,40.8,1.0,3.8
1,201002,강원도,산업용,10317,422910243,32495554645,76.8,1.2,20.0,-11.5,62.0,62.1,1.2,5.1
2,201003,강원도,산업용,10316,517990816,34865302481,67.3,4.6,18.8,-4.0,63.0,78.2,1.6,6.6
3,201004,강원도,산업용,10370,534291666,35837294235,67.1,10.0,25.3,-1.4,51.0,58.5,1.7,5.5
4,201005,강원도,산업용,10401,552798158,36102869755,65.3,17.8,31.4,3.3,57.0,78.0,1.4,5.5
5,201006,강원도,산업용,10442,555653248,36892838836,66.4,23.4,33.7,8.8,63.0,86.6,1.1,5.5
6,201007,강원도,산업용,10518,519317358,43514434931,83.8,26.1,34.2,19.2,74.0,174.8,1.1,7.9
7,201008,강원도,산업용,10572,486324103,42584423469,87.6,27.1,36.0,21.6,78.0,269.9,1.1,7.8
8,201009,강원도,산업용,10622,475862246,34456881597,72.4,21.1,34.2,7.2,76.0,550.2,0.9,6.2
9,201010,강원도,산업용,10642,546945649,38087119329,69.6,13.7,24.9,-1.9,69.0,24.7,0.8,4.8
10,201011,강원도,산업용,10752,567036330,46532417979,82.1,5.8,18.5,-5.5,54.0,19.5,1.1,3.2
11,201012,강원도,산업용,10852,574760250,46968406506,81.7,-1.6,16.0,-14.2,59.0,18.9,1.4,4.3
12,201101,강원도,산업용,10897,543621151,44441563342,81.8,-7.7,1.9,-18.6,55.0,11.0,1.2,2.5
13,201102,강원도,산업용,10912,504535587,41783699836,82.8,0.8,14.3,-10.8,58.0,42.4,1.1,4.6
14,201103,강원도,산업용,10923,611321099,42162705274,69.0,3.7,18.7,-7.1,50.0,38.5,2.0,3.5
15,201104,강원도,산업용,10974,601744447,41985386372,69.8,11.1,23.7,1.1,53.0,163.1,1.9,5.0
16,201105,강원도,산업용,11013,616765922,41905550293,67.9,18.3,29.8,8.0,56.0,109.1,1.7,5.8
17,201106,강원도,산업용,11057,618944279,42849222153,69.2,22.8,33.7,14.0,64.0,364.8,1.6,6.2
18,201107,강원도,산업용,11083,595903573,50950542056,85.5,25.5,35.3,18.7,78.0,882.0,1.3,8.3
19,201108,강원도,산업용,11141,576713181,52988882307,91.9,25.9,35.4,17.5,75.0,369.8,1.3,7.7
20,201109,강원도,산업용,11156,604959584,44724133909,73.9,20.5,33.0,8.7,68.0,96.7,1.2,4.8
21,201110,강원도,산업용,11178,654763940,46768251857,71.4,12.1,22.6,-0.9,69.0,44.6,1.1,4.4
22,201111,강원도,산업용,11189,634952657,55727217330,87.8,9.6,25.5,-5.1,64.0,55.0,1.4,6.0
23,201112,강원도,산업용,11215,638077502,60394683117,94.7,-2.0,9.3,-13.8,57.0,11.0,1.3,4.0
24,201201,강원도,산업용,11259,581408142,55187040829,94.9,-3.9,9.3,-14.8,58.0,10.5,1.2,4.1
25,201202,강원도,산업용,11258,537959873,53040030542,98.6,-2.6,12.4,-20.5,48.0,2.1,1.5,3.5
26,201203,강원도,산업용,11271,614494922,48282035458,78.6,4.9,18.6,-7.2,53.0,50.9,2.0,5.7
27,201204,강원도,산업용,11282,602629232,46754679507,77.6,12.4,28.6,-1.7,52.0,125.1,2.0,4.8
28,201205,강원도,산업용,11329,623123684,49511573284,79.5,18.7,29.4,7.7,53.0,27.7,1.6,4.9
29,201206,강원도,산업용,11364,623503577,50719881243,81.3,23.6,33.0,13.2,56.0,70.5,1.8,6.0
30,201207,강원도,산업용,11454,602175744,59179825035,98.3,25.6,34.4,17.6,73.0,449.6,1.5,7.4
31,201208,강원도,산업용,11451,557897312,57623638877,103.3,26.5,37.1,17.6,71.0,338.1,1.8,7.2
32,201209,강원도,산업용,11488,548144972,47263051441,86.2,19.5,30.7,7.9,74.0,156.1,1.3,6.4
33,201210,강원도,산업용,11588,581388466,48256848625,83.0,13.2,25.0,1.3,66.0,53.1,1.2,3.7
34,201211,강원도,산업용,11517,581731734,59750179141,102.7,4.3,15.9,-5.9,64.0,44.5,1.5,5.0
35,201212,강원도,산업용,11540,606718083,61116263717,100.7,-4.9,7.8,-16.2,64.0,50.3,1.3,3.7
36,201301,강원도,산업용,11584,554660933,58051485269,104.7,-4.9,13.2,-20.3,64.0,20.4,1.2,4.5
37,201302,강원도,산업용,11581,495934431,53846943780,108.6,-1.3,15.1,-17.0,54.0,41.8,1.5,4.7
38,201303,강원도,산업용,11564,586599870,51552641665,87.9,5.4,24.5,-5.7,58.0,49.1,1.7,3.7
39,201304,강원도,산업용,11583,602432845,52574360079,87.3,9.8,26.8,-1.2,62.0,82.0,2.1,5.6
40,201305,강원도,산업용,11620,629470495,54254015694,86.2,18.3,31.2,6.0,64.0,82.6,1.6,4.8
41,201306,강원도,산업용,11633,602470154,52271250409,86.8,23.9,32.6,13.4,71.0,199.2,1.4,5.8
42,201307,강원도,산업용,11659,565264620,60224954727,106.5,26.0,32.5,20.8,82.0,642.2,1.6,8.2
43,201308,강원도,산업용,11674,548367685,58070735454,105.9,26.9,34.1,19.6,78.0,153.5,1.3,5.8
44,201309,강원도,산업용,11737,565758684,50142322223,88.6,20.5,30.4,8.7,78.0,138.3,1.2,5.9
45,201310,강원도,산업용,11760,586656580,51101983429,87.1,14.2,27.7,1.9,74.0,12.8,1.2,3.3
46,201311,강원도,산업용,11795,590577713,64445549971,109.1,4.9,21.4,-7.6,72.0,48.7,1.4,4.2
